Municipio,Ente,Ouvidor,Telefone,Whatsapp,E-mail,Site,Endereço,Horario de funcionamento,Evidencia de Instrucao Normativa,Link da Instrucao Normativa
IGUATU,Prefeitura,,(88)3581.6563,,ouvidoria@iguatu.ce.gov.br,https://www.iguatu.ce.gov.br/link?link=https://www.gdic.com.br/modulo/ouvidoria/login/1272486?clean=true,,seg a sex | 7:30h as 13:30h,Não,
INDEPENDÊNCIA,Prefeitura,Layanna Maria Coelho Oliveira Magalhães,(88) 3675-2213,,prefeituradeindependencia2017@outlook.com,https://www.independencia.ce.gov.br/ouvidoria,"Rua Cruzeiro, 244 - Centro - CEP: 63.640-000 - Independência/CE",De segunda á sexta Das 08h00min às 12h00min e de 14h00min às 18h00min,Não,
IPAPORANGA,Prefeitura,FRANCISCA MARIA ALVES BERNARDINO,(88) 9 9944-2403,(88) 9 9944-2403,ouvidoria@ipaporanga.ce.gov.br,https://www.ipaporanga.ce.gov.br/ouvidoria,"Rua Franklin José Vieira , 91, Centro - CEP: 62.215-000 - Ipaporanga/CE",07h às 13h,Sim,https://www.ipaporanga.ce.gov.br/arquivos/1692/LEIS%20MUNICIPAIS_279_2013_0000001.pdf
IPAUMIRIM,Prefeitura,Juciclea Gouveia Correia,(88) 3567-1525,,,https://www.ipaumirim.ce.gov.br/ouvidoria,,Segunda a Sexta Feira das 07:30h as 12:00h,Sim,https://www.ipaumirim.ce.gov.br/arquivos/290/LEIS%20MUNICIPAIS_374_2021_0000001.pdf
IPU,Prefeitura,,(88)36832022,,ouvidoria@ipu.ce.gov.br,https://ipu.ce.gov.br/ouvidoria,Praça Abilio Martins s/n,das 08:00h as 12:00 e 14:00h as 17:00h,Sim,https://www.ipu.ce.gov.br/arquivos/868/leis1972009.pdf
IPUEIRAS,Prefeitura,Caio Cesar Linhares Ferreira,,,ouvidoria@ipueiras.ce.gov.br,https://www.ipueiras.ce.gov.br/ouvidoria,"Parque da Cidade Jose Costa Matos, 01, Centro",SEGUNDA A SEXTA - DAS 08:00H AS 12:00H - DE 13:00H AS 16:00H,Não,
IRACEMA,Prefeitura,Savio Nero Medeiros Magalhães,(88) 3428-1462,,ouvidoria.iracema.ce@gmail.com,https://www.iracema.ce.gov.br/ouvidoria,Rua Delta Holanda - Nº 19 - Centro - Cep: 62.980-000 - Iracema - CE,De Segunda à Sexta Das 07:00hs às 13:00hs,Não,
IRAUÇUBA,Prefeitura,Renata Mendes Ramos,(88) 9.9617-1794,(88) 9.9617-1794,ouvidoria@iraucuba.ce.gov.br,https://www.iraucuba.ce.gov.br/ouvidoria,"Av. Paulo Bastos, 14000 - Centro - CEP: 62620-000 - Irauçuba/CE",DE SEGUNDA Á SEXTA DAS 08:00H ÀS 17:00H,Sim,https://www.iraucuba.ce.gov.br/arquivos/1247/Leis%20Municipais_482_2005_0000001.pdf
ITAIÇABA,Prefeitura,MARIA MAZARELO GOMES LEGAL,(88) 3410-1112,,ouvidoria@itaicaba.ce.gov.br,https://www.itaicaba.ce.gov.br/ouvidoria,Prefeitura Municipal de Itaiçaba,"de Segunda A Quinta-feira, das 7:30h às 11:30h e das 13h às 17h | Sexta-feira, das 07:30h às 13:00h",Não,
ITAITINGA,Prefeitura,Silvania Ferreira Cartaxo,0800 101 11 70,,ouvidoria@itaitinga.ce.gov.br,https://www.itaitinga.ce.gov.br/ouvidoria,"Rua Manoel de Sousa, 215 - Centro - Itaitinga/CE",Segunda à Sexta de 08 às 12h e 13h às 17:00,Sim,https://www.itaitinga.ce.gov.br/leis.php?id=705
ITAPAJÉ,Prefeitura,Raiane Pereira Costa,(85) 3346-2261,,ouvidoria@itapaje.ce.gov.br,https://www.itapaje.ce.gov.br/ouvidoria,"Av. Antônio Pereira de Melo, 353 - Itapajé/CE",das 08:00 às 12:00 | 14:00 às 17:00,Não,
ITAPIPOCA,Prefeitura,Altonia Azevedo Rogério Primo,88 3631-5950,,faleconosco@itapipoca.ce.gov.br,https://www.itapipoca.ce.gov.br/ouvidoria,Av. Anastácio Braga n 195 - Centro Itapipoca/CE,DE SEGUNDA A SEXTA FEIRA DE 08:00H AS 18:00H.,Não,
ITAPIUNA,Prefeitura,Aurelio de Oliveira Souza,(88)3431-1210,,,https://www.itapiuna.ce.gov.br/ouvidoria,"Av. São Cristovão, 15 - Centro - Itapiúna/CE",DE SEGUNDA A SEXTA DAS 08:00 ÀS 17:00hs.,Não,
ITAREMA,Prefeitura,Kaline Mariele Santana Monteiro,(88) 9.8885-5179,,ouvidoria@itarema.ce.gov.br,https://www.itarema.ce.gov.br/ouvidoria,"Praça Nossa Senhora de Fátima, N° 48, Centro, Itarema-CE | CEP: 62.590-000",De segunda a sexta de 08:00 hs às 12:00 hs.,Sim,https://itarema.ce.gov.br/publicacoes.php?id=1456
ITATIRA,Prefeitura,Sergio Paulo de Carvalho Prado,(88) 3436-1044,,prefeitura_itatira@hotmail.com,https://www.itatira.ce.gov.br/ouvidoria,"RUA PADRE JOSÉ LAURINDO nº 1249 PAÇO MUNICIPAL, , ITATIRA",Segunda a Sexta - Feira de 08:00 hrs às 14:00 hrs,Não,
JAGUARETAMA,Prefeitura,FERNANDO ITALO BORGES DIOGENES,(88) 8133.6960,,ouvidoria@jaguaretama.ce.gov.br,https://www.jaguaretama.ce.gov.br/ouvidoria,Rua Tristão Gonçalves - Nº 185 - Centro - Cep : 63.480-000 - Jaguaretama - CE,Segunda à quinta das 08:00 às 12:00 - 14:00 às 17:00 / Sexta - 08:00 às 14:00,Sim,https://jaguaretama.ce.gov.br/leis.php?id=1524
JAGUARIBARA,Prefeitura,,(88) 3568-4534,,ouvidoria@jaguaribara.ce.gov.br,https://www.jaguaribara.ce.gov.br/ouvidoria/12df7304-8433-450f-bdc3-746948b4301a/,"AV. BEZERRA DE MENEZES, 350",Seg. à Qui. 07h30 às 11h30 - 13h às 17h e Sex. 07h30 às 12h30,Não,
JAGUARIBE,Prefeitura,Anna Susy Saldanha Freire,(88) 9.3300-2638,,ouvidoria@jaguaribe.ce.gov.br,https://www.jaguaribe.ce.gov.br/ouvidoria,"Rua Maria Nizinha Campelo, 341",SEGUNDA A QUINTA - DAS 07:30 AS 12:00 E 13:30 AS 17:00 / SEXTA - DAS 07:30 AS 13:30,Sim,https://www.jaguaribe.ce.gov.br/arquivos/459/Leis%20Municipais_1125_2013_0000001.pdf
JAGUARUANA,Prefeitura,Marcos Paulo Mendonça Soares,(88) 3418-1288,,ouvidoria@jaguaruana.ce.gov.br,https://www.jaguaruana.ce.gov.br/ouvidoria,"Praça: Adolfo Francisco da Rocha, Nº 404 - Centro - CEP: 62.823-000 - Jaguaruana/CE",De Segunda à Sexta Das 07:00hs às 13:00hs,Não,
JARDIM,Prefeitura,Thamires Clemente Tenorio,(88) 3481-7445,,ouvidoria@jardim.ce.gov.br,https://www.jardim.ce.gov.br/ouvidoria,"Rua Leonel Alencar, 370, Centro, Jardim/CE",Segunda a Sexta das 08:00 as 16:00hs,Sim,https://www.jardim.ce.gov.br/arquivos/1409/DECRETO_15040232025_2025_0000001.pdf
JATI,Prefeitura,,(88) 3575-1188,,ouvidoriajati@gmail.com,https://jati.ce.gov.br/ouvidoria/,,De Segunda à Sexta das 8:00 hs às 13:00 hs,Não,
JIJOCA DE JERICOACOARA,Prefeitura,ELISA MARIA FONSECA RIBEIRO,(88) 3669-1180,,ouvidoria@jijocadejericoacoara.ce.gov.br,https://www.jijocadejericoacoara.ce.gov.br/ouvidoria,"AV. Manoel Marques, Centro s/n",Segunda á Sexta-Feira 08:00hs ás 14:00hs,Não,
JUAZEIRO DO NORTE,Prefeitura,MARIA EDUARDA LIMA DIOGO,8831990464,(88) 9 3199-0464,ouvidoria@juazeiro.ce.gov.br,https://juazeirodonorte.ce.gov.br/ouvidoria,"Rua Interventor Francisco Erivano Cruz, Nº 120 - Centro - CEP: 63.010-015",SEGUNDA A SEXTA DAS 08:00H ÁS 17:00H,Sim,https://www.juazeirodonorte.ce.gov.br/leis.php?id=4012
JUCÁS,Prefeitura,,,,,https://jucas.ce.gov.br/ouvidoria/,,,Não,
LAVRAS DA MANGABEIRA,Prefeitura,Samuel Pinheiro Sobral,(88) 99719-1427,(88) 99719-1427,ouvidoria.lavrasce@gmail.com,https://www.lavrasdamangabeira.ce.gov.br/ouvidoria,Elisbão de Almeida Crispim,Seg a Sex | 8:00h às 12:00h - 14:00h às 17:00h,Sim,https://www.lavrasdamangabeira.ce.gov.br/arquivos/110/LEIS%20MUNICIPAIS_466_2017_0000001.pdf
LIMOEIRO DO NORTE,Prefeitura,DARA JOANA ALMEIDA DE LIMA,,,ouvidoria@limoeirodonorte.ce.gov.br,https://www.limoeirodonorte.ce.gov.br/ouvidoria,"Rua Cel. Antonio Joaquim, 2121 - Centro - Limoeiro do Norte",Segunda a Sexta das 07:00hs as 13:00hs,Sim,https://www.camaralimoeirodonorte.ce.gov.br/arquivos/133/Leis_1974_2016.pdf
MADALENA,Prefeitura,,,,,https://www.madalena.ce.gov.br/ouvidoria,,,Sim,https://www.madalena.ce.gov.br/arquivos/603/DECRETO_048_2021_0000001.pdf
MARACANAÚ,Prefeitura,Janaina de Oliveira Albuquerque,3521-5891,,ouvidorageral@maracanau.ce.gov.br,https://www.maracanau.ce.gov.br/ouvidoria-geral-do-municipio/#manifestacao,"Rua Edson Queiroz, 270 - Centro - Maracanaú/CE",Segunda a quinta 08h às 12h e 13h às 16h Sexta-feira 08h às 14h,Sim,https://sapl.maracanau.ce.leg.br/media/sapl/public/normajuridica/2007/1582/1208.pdf
MARANGUAPE,Prefeitura,Luiz Guilherme Oliveira Souza,85991811280,,,https://maranguape.ce.gov.br/,"R. Cel. Manuel Paula, vizinho ao 472 A","De segunda à sexta, 8h às 14h.",Não,
MARCO,Prefeitura,Taynan Fernandes da Silva,(88) 3664-1415,,ouvidoria@marco.ce.gov.br,https://marco.ce.gov.br/ouvidoria,"Av. Prefeito Guido Osterno, S/N - Centro - CEP: 62.560-000",Segunda à Sexta das 07:00 às 12:00 | 13:30 às 16:30,Sim,https://marco.ce.gov.br/arquivos/80/_218_2017.pdf
MARTINÓPOLE,Prefeitura,,88 3627-1300,,ouvidoria@martinopole.ce.gov.br,https://www.martinopole.ce.gov.br/ouvidoria,"AV CAPITÃO BRITO, S/N - CENTRO",Segunda à quinta das 08h00 às 12h00 - 14h00 às 17h00/ Sexta das 08h00 às 14h00,Sim,https://www.martinopole.ce.gov.br/arquivos/577/DECRETO_113_2022_0000001.pdf
MASSAPÊ,Prefeitura,Suely Andrade de Lima,(88) 9 9279-2630,(88) 9 9279-2630,ouvidoria@massape.ce.gov.br,https://www.massape.ce.gov.br/ouvidoria,"RUA MAJOR JOSÉ PAULINO, Nº 191",DE SEGUNDA A SEXTA DAS 07:00 AS 13:00H,Não,
MAURITI,Prefeitura,ISABEL KAROLAYNE MOREIRA DE LIMA,(88) 99632-8227,(88) 99632-8227,ouvidoria@mauriti.ce.gov.br,https://www.mauriti.ce.gov.br/ouvidoria,"AV. SENHOR MARTINS DE MORAIS, S/N - BELA VISTA",DE SEGUNDA A SEXTA AS 08:00 HS À 14:00 HS,Sim,https://www.mauriti.ce.gov.br/arquivos/3023/DECRETO_24_2025_0000001.pdf
MERUOCA,Prefeitura,CRISTIANE PAULO MAGALHAES,(88) 3649-1136,,ouvidoria.meruoca@meruoca.ce.gov.br,https://www.meruoca.ce.gov.br/ouvidoria,"Avenida. Pedro Sampaio, Nº 385 - Divino Salvador - CEP: 62.130-000 - Meruoca/CE",De Segunda á Sexta Das 08:00 as 14:00 horas,Não,
MILAGRES,Prefeitura,Anna Aponisia Felix dos Santos Ribeiro,(88) 35531255,,ouvidoria@milagres.ce.gov.br,https://www.milagres.ce.gov.br/ouvidoria,PREFEITURA MUNICIPAL DE MILAGRES,Segunda a Sexta de 7:30 as 13:30hrs,Não,
MILHÃ,Prefeitura,FRANCISCO SIVANDO PINHEIRO,(88) 9 9665-0508,(88) 9 9665-0508,ouvidoriageralmilha@gmail.com,https://www.milha.ce.gov.br/ouvidoria,"Av. Pedro José de Oliveira, Nº 406 - Centro - CEP: 63635-000 - Milhã/CE",De segunda a sexta - 8:00h às 12:00h E 13:00h às 17:00h,Sim,https://milha.ce.gov.br/arquivos/1139/LEIS%20MUNICIPAIS_049_2005_0000001.pdf
MIRAÍMA,Prefeitura,Antonia Maria Alves Pinheiro Pinto,(88) 36391167,,ouvidoria@miraima.ce.gov.br,https://www.miraima.ce.gov.br/ouvidoria,ESPLANADA DA ESTAÇÃO,SEGUNDA A SEXTA: 07h às 13h,Sim,https://miraima.ce.gov.br/arquivos/441/LEIS_138_1997_0000001.pdf e https://miraima.ce.gov.br/arquivos/167/LEIS_558_2016_0000001.pdf 
MISSÃO VELHA,Prefeitura,Regilânio Macedo,,,controladoriaeouvidoria@missaovelha.ce.gov.br,https://missaovelha.ce.gov.br/secretarias/secretaria-controladoria-e-ouvidoria-geral/,"Paço Municipal Sebastião Pereira Cruz
Rua José leite landim Júnior, 64 Centro - Missão Velha/CE",8hs às 14hs,Não,
MOMBAÇA,Prefeitura,ANA KAROLINE GOMES CAVALCANTE,(88) 9 8858-9996,(88) 9 8858-9996,ouvidoria@mombaca.ce.gov.br,https://www.mombaca.ce.gov.br/ouvidoria,RUA DONA ANÉSIA CASTELO 01 - ALTOS,de Segunda a Sexta 08:00 as 12:00 e das 14:00 as 17:00,Sim,https://www.mombaca.ce.gov.br/arquivos/19/LEIS%20ORDINARIAS_874_2016_0000001.pdf
MONSENHOR TABOSA,Prefeitura,MARIA OLIVIA MARTINS MELO,(88) 3696-1117,,ouvidoriageral@monsenhortabosa.ce.gov.br,https://www.monsenhortabosa.ce.gov.br/ouvidoria,"Praça 07 de Setembro, 15 - Centro - Monsenhor Tabosa/CE",Segunda a Sexta de 08:00 ás 12:00h e das 13:30h ás 17:30h,Não,
MORADA NOVA,Prefeitura,KAULA SILVA QUEIROZ,(88)3422-1381,,ouvidoria@moradanova.ce.gov.br,https://www.moradanova.ce.gov.br/ouvidoria,"Av. Manoel Castro, 726, Centro, Morada Nova - CE, 62940-000",De segunda a sexta das 07:00 hs às 13:00 hs,Não,
MORAÚJO,Prefeitura,,,,,https://ouvidoria.moraujo.ce.gov.br/esic/manifestacao,,,Não,
MORRINHOS,Prefeitura,PAULO ROGERIO DA ROCHA JUNIOR,(88)36651130 ou (88)99638-1122,,ouvidoria@morrinhos.ce.gov.br,https://morrinhos.ce.gov.br/ouvidoria,"Rua Joaquim Coriolano Rocha, Nº 350B, Centro","Seg à Sex, de 08:00h às 13:30h",Sim,https://morrinhos.ce.gov.br/leis.php?id=917
MUCAMBO,Prefeitura,,(88) 9 9416-5932,,,https://mucambo.ce.gov.br/ouvidoria/,"Rua Construtor Gonçalo Vidal, SN, Centro, Mucambo CE, CEP: 62170-000",,Não,
MULUNGU,Prefeitura,Maria Erivania Lima Alexandre,(85) 3328 1130,,ouvidoria@mulungu.ce.gov.br,https://www.mulungu.ce.gov.br/ouvidoria,"Rua Cel. Justino Café, 136 | Ouvidoria Geral do Município",De Segunda á Sexta das 7:30hs as 11:30hs,Sim,https://www.mulungu.ce.gov.br/leis.php?id=264
NOVA OLINDA,Prefeitura,,,,ouvidoria@novaolinda.ce.gov.br,https://portalmunicipios.com.br/servicos/MenuPrincipal.asp?vMEN_CODIGO=727&vDESTINO=PAGE-OUVIDORIA&vEMP_CNPJ=07536444000195&vORG_CODIGO=2020,"Av. Perimetral Sul, S/N, Centro Nova Olinda - CE",09h às 16h,Não,
NOVA RUSSAS,Prefeitura,MAYKON LIMA RIBEIRO,88 3672-1920,,ouvidoria@novarussas.ce.gov.br,https://www.novarussas.ce.gov.br/ouvidoria,"Rua: Padre Francisco Rosa, Nº 1388 - Centro",De Segunda a Quinta das 7:30 às 12:00 (ao público) - 13:30 às 17:00 - Sexta das 08:00hs ás 14:00hs,Não,
NOVO ORIENTE,Prefeitura,Antonia Raiane Costa Oliveira,(88) 9 9673-3065,(88) 9 9673-3065,ouvidoria@novooriente.ce.gov.br,https://www.novooriente.ce.gov.br/ouvidoria,"Rua Deocleciano Aragão, 15 - Centro - CEP: 63.740-000 - Novo Oriente/CE",Das 07:00 às 13:00 horas.,Não,
OCARA,Prefeitura,Ronyeberson Mendes Galvão,,,ouvidoria@ocara.ce.gov.br,https://www.ocara.ce.gov.br/ouvidoria,Av. Coronel João Felipe,DE SEGUNDA A SEXTA DAS 08:00 AS 12:00 E DE 13:00 AS 17:00,Não,
ORÓS,Prefeitura,PAULO MARCIO LIMA BRAGA,,(88) 9 9937-5166,controladoriaeouvidoria@oros.ce.gov.br,https://oros.ce.gov.br/ouvidoria,"Praça Anastácio Maia, 40 - Centro - CEP: 63520-000 - Orós\CE",Segunda à Sexta 07:00h as 11:00h - 13:00h as 17:00h,Sim,https://oros.ce.gov.br/arquivos/785/LEIS%20MUNICIPAIS_017_1999_0000001.pdf
PACAJUS,Prefeitura,ELISANGELA KELMA RODRIGUES SILVA,85 999851516,85 991871095,ouvidoria@pacajus.ce.gov.br,https://www.pacajus.ce.gov.br/ouvidoria,"Rua Guarany, 600",Segunda a Sexta das 7h30 ás 17h,Sim,https://www.pacajus.ce.gov.br/arquivos/405/LEIS%20MUNICIPAIS_407_2015_0000001.pdf
PACATUBA,Prefeitura,MARIA JOSE SOUZA DOS SANTOS,(85) 99685-9347,(85) 99685-9347,ouvidoria@pacatuba.ce.gov.br,https://pacatuba.ce.gov.br/ouvidoria,"Rua Josué Mateus Figueiredo, 293 - Centro - Pacatuba/CE",DE SEGUNDA A SEXTA DAS 08:00 ÀS 14:00,Não,
PACOTI,Prefeitura,José Anilson Alves de Sousa,,,ouvidoria@pacoti.ce.gov.br,https://www.pacoti.ce.gov.br/ouvidoria,"Rua Praça Coronel José Cícero Sampaio, Nº 663 - Centro - CEP: 62.770-000 - Pacoti/CE",De Segunda a Sexta Das 08:00hs às 17:00hs,Não,
PACUJÁ,Prefeitura,ANTONIO RONY FARIAS ALVES,,,ouvidoria@pacuja.ce.gov.br,https://www.pacuja.ce.gov.br/ouvidoria,"Rua: 22 De Setembro, Nº 325 - Centro - CEP:62.180-970 - Pacuja/CE",de segunda a sexta das 8h a 12h,Sim,https://www.pacuja.ce.gov.br/arquivos/236/LEIS_553_2019_0000001.pdf
PALHANO,Prefeitura,FRANCISCO OZAIR DE LIMA,(88)34151050,,ouvidoria@palhano.ce.gov.br,https://www.palhano.ce.gov.br/ouvidoria,Prefeitura Municipal de Palhano,DE SEGUNDA A SEXTA AS 07:00 HS À 13:00 HS,Não,
PALMÁCIA,Prefeitura,JOSÉ AÉCIO SILVEIRA PINHEIRO,,,ouvidoria@palmacia.ce.gov.br,https://www.palmacia.ce.gov.br/ouvidoria,"PRAÇA 07 DE SETEMBRO, 653",De Segunda a Sexta das 8:00h as 12:00 e de 13:00h as 17:00h,Não,
PARACURU,Prefeitura,,(85) 981264203,,ouvidoria@paracuru.ce.gov.br,https://www.paracuru.ce.gov.br/ouvidoria,"Rua Cel. Meireles, 07 - Centro - Paracuru/CE",08:00 as 14:00 de Segunda a Sexta,Não,
PARAIPABA,Prefeitura,Fernanda Keyla Barroso de Sousa,(85) 98107-2681,,ouvidoria@paraipaba.ce.gov.br,https://www.paraipaba.ce.gov.br/ouvidoria,"Rua Joaquim Braga, s/n - Centro - CEP:62.685-000 - Paraipaba/CE","De segunda a sexta, de 08:00hs às 14:00hs",Sim,https://www.paraipaba.ce.gov.br/leis.php?id=1726
PARAMBU,Prefeitura,,,,,https://parambu.ce.gov.br/fala-parambu/cadastro-cidadao,,,Não,
PARAMOTI,Prefeitura,Maria Cydalia Barbosa Gama,(85) 9.9262-6315,,ouvidoria@paramoti.ce.gov.br,https://www.paramoti.ce.gov.br/ouvidoria,"Rua: Santa Ana, Nº 64 - Centro - CEP: 62.736-000 - Paramoti/CE",SEGUNDA À SEXTA DAS 07:00HS ÀS 13:00 HS,Não,
PEDRA BRANCA,Prefeitura,ANTONIA KAROL BARBOSA SOARES,(88)9.9927-9421,,ouvidoria@pedrabranca.ce.gov.br,https://www.pedrabranca.ce.gov.br/ouvidoria,"RUA JOSÉ JOAQUIM DE SOUSA, nº 10 CENTRO, CEP: 63630-000, PEDRA BRANCA -CE",De Segunda a Sexta8:00 as 12:00 e de 14:00 as 17:00,Sim,https://pedrabranca.ce.gov.br/arquivos/1072/LEIS%20MUNICIPAIS_781_2022_0000001.pdf
PENAFORTE,Prefeitura,,,,,https://penaforte.ce.gov.br/,,,Não,
PENTECOSTE,Prefeitura,CAMILLA MOURA AZEVEDO,,,OUVIDORIA DESATIVADA?,https://www.pentecoste.ce.gov.br/ouvidoria,,Segunda à Sexta - 7h30 às 11h30 e 13h30 às 17h,Não,
PEREIRO,Prefeitura,MARIA SANDRA PEREIRA,(88) 99930-7625,(88) 99930-7625,ouvidoria@pereiro.ce.gov.br,https://www.pereiro.ce.gov.br/ouvidoria,"Rua Marta Silveira Maciel, 04, Centro - Pereiro-CE",De segunda a sexta-feira das 07:00 as 11:00 hs e das 13:00 as 17:00 hs,Não,
PINDORETAMA,Prefeitura,FRANCISCO COSTA MONTEIRO,3375-1427,,ouvidoria@pindoretama.ce.gov.br,https://pindoretama.ce.gov.br/ouvidoria,,Seg. a Sex. de 8h às 14h,Sim,https://pindoretama.ce.gov.br/arquivos/1185/DECRETO_424_2025_0000001.pdf
PIQUET CARNEIRO,Prefeitura,LUIZ ROBERTO PESSOA AIRES FILHO,(88) 3516-1800: 88.996670,,ouvidoria@piquetcarneiro.ce.gov.br,https://www.piquetcarneiro.ce.gov.br/ouvidoria,Praça Mariano Aires S/N - Centro - CEP: 63.605-000 - Piquet Carneiro\CE,De Segunda à Sexta das 07:30hs às 13:30hs,Sim,https://www.piquetcarneiro.ce.gov.br/arquivos/178/LEIS_276_2016_0000001.pdf
PIRES FERREIRA,Prefeitura,,(88) 3651-1081,,ouvidoria@piresferreira.ce.gov.br,https://www.piresferreira.ce.gov.br/ouvidoria.php,"RUA MARIA ANTUSA SOARES PASSOS, s/n
CENTRO
PIRES FERREIRA-",Segunda à Sexta-Feira de 08:00hs às 17:00hs,Não,
PORANGA,Prefeitura,ANTONIO VALDIR GOMES LIMA,(88) 3658-1588,(88) 9669-4896,ouvidoria@poranga.ce.gov.br,https://www.poranga.ce.gov.br/ouvidoria,"Av. Doutor Epitácio de Pinho, Anexo, s/n - Eufrasino Neto",DE SEGUNDA A SEXTA DAS 08:00HRS ÀS 14:00HRS,Não,
PORTEIRAS,Prefeitura,,,,,https://porteiras.ce.gov.br/ouvidoria/,,,Não,
POTENGI,Prefeitura,,,,,https://www.potengi.ce.gov.br/ouvidoria,,,Não,
POTIRETAMA,Prefeitura,,(88) 9 9613-2273,,ouvidoria@potiretama.ce.gov.br,https://www.potiretama.ce.gov.br/ouvidoria,"RUA EXPEDITO LEITE DA SILVA, Nº 33 CENTRO, CEP: 62990-000",De segunda a sexta as 08:00 hs à 17:00 hs,Não,
QUITERIANOPÓLIS,Prefeitura,Lucas Pereira de Lacerda Cavalcante,(88) 3657-1064,,gabinete@quiterianopolis.ce.gov.br,https://quiterianopolis.ce.gov.br/ouvidoria,"Av. Laurindo Gomes, s/n - Centro - CEP: 63650-000 - Quiterianópolis\CE","Segunda-feira a sexta-feira, de 07:00hs às 12:00hs",Não,
QUIXADÁ,Prefeitura,Daniele de Castro Alves,(88) 9 9920-4550,(88) 9 9920-4550,ouvidoria@quixada.ce.gov.br,https://quixada.ce.gov.br/ouvidoria,"Travessa Jorge Matias Lobo,, s/n,Quixadá, CE","Segunda à Quinta: 08:00 ás 11:30, 13:30 ás 17:30, sexta: 08:00 às 13:30.",Não,
QUIXELÔ,Prefeitura,VITORIA MENEZES DE ARAÚJO,,,ouvidoria@quixelo.ce.gov.br,https://www.quixelo.ce.gov.br/ouvidoria,"Av. Luís Vicente da Silva, 30",07:00 ás 13:00,Sim,www.quixelo.ce.gov.br
QUIXERAMOBIM,Prefeitura,Carlos Antonio Chaves Simão,(88) 9 8808-5170,,ouvidoria@quixeramobim.ce.gov.br,https://www.quixeramobim.ce.gov.br/ouvidoria,"Rua Dom Quintino, nº 72, Centro, Quixeramobim - Ceará",Segunda a sexta de 08h às 12h e de 13h ás 17h,Não,
QUIXERÉ,Prefeitura,Carla Simone Costa Melo,(85) 40425519,(88) 9 8226-0269,ouvidoria@quixere.ce.gov.br,https://www.quixere.ce.gov.br/ouvidoria,"Rua Padre Joaquim de Menezes, nº 1175, Centro",07:00 AS 13:00 H,Não,
REDENÇÃO,Prefeitura,Francisca Wilcilane Barreto Pinheiro,,(85) 9 9180-6553,ouvidoria@redencao.ce.gov.br,https://www.redencao.ce.gov.br/ouvidoria,"Rua Santos Dumont, s/n - Centro - Redenção/CE",08:00 as 14:00,Não,
RERIUTABA,Prefeitura,,(88) 3637-2052,,ouvidoria@reriutaba.ce.gov.br,https://www.reriutaba.ce.gov.br/ouvidoria.php,,Segunda à Sexta-Feira de 08:00hs às 17:00hs,Não,
RUSSAS,Prefeitura,José Almir da Silva Bernardo,(88) 3411.8401,,ouvidoria@russas.ce.gov.br,https://russas.ce.gov.br/ouvidoria,"Av. Dom Lino, 831, Centro",07:300 ÀS 13:30 HORAS,Sim,https://russas.ce.gov.br/leis.php?id=1826
SABOEIRO,Prefeitura,,,,,https://saboeiro.ce.gov.br/ouvidoria,,,Não,
SALITRE,Prefeitura,Carlos Antonio Lucio Alencar,,(88) 9 9749-5774,ouvidoria@salitre.ce.gov.br,https://www.salitre.ce.gov.br/ouvidoria,"Sala da Ouvidoria, Praça São Francisco, S/N - Centro - Salitre/CE",DE SEGUNDA A SEXTA DAS 08:00H AS 16:30H,Não,
SANTA QUITÉRIA,Prefeitura,RAFAELY MARTINS BARBOSA,(88) 9 8196-0781,(88) 9 8196-0781,ouvidoria@santaquiteria.ce.gov.br,https://www.santaquiteria.ce.gov.br/ouvidoria,"Rua: Professora Ernestina Catunda, Nº 50 - Piracicaba - CEP: 62.280-000 - Santa Quitéria/CE",De Segunda à Sexta-feira de 08 às 12h e das 14 às 17h,Não,
SANTANA DO ACARAÚ,Prefeitura,Francisco Igor de Sousa,(88) 9 9744-5732,,ouvidoria@santanadoacarau.ce.gov.br,https://www.santanadoacarau.ce.gov.br/ouvidoria,"Avenida São João, nº 75, Bairro Centro, Santana do Acaraú/CE, CEP: 62150-000",De Segunda a Sexta das 8:00 as 12:00 h,Sim,https://www.santanadoacarau.ce.gov.br/arquivos/224/LEIS%20MUNICIPAIS_696_2010_0000001.pdf
SANTANA DO CARIRI,Prefeitura,,,,,https://falabr.cgu.gov.br/web/home,,,Sim,https://santanadocariri.ce.gov.br/arquivos/1206/LEI%20ORDINARIA_502_2005_0000001.pdf
SÃO BENEDITO,Prefeitura,Maria Marcia Coelho Pereira,(88) 3626-1347,,ouvidoria@saobenedito.ce.gov.br,https://www.saobenedito.ce.gov.br/ouvidoria,Sede da Prefeitura Municipal de São Benedito,07:00 às 12:00 e 14:00 às 17:00,Não,
SÃO GONÇALO DO AMARANTE,Prefeitura,Erinaldo Moraes Soares,(85) 4042-0752,(85) 4042-0752,ouvidoria@saogoncalodoamarante.ce.gov.br,https://www.saogoncalodoamarante.ce.gov.br/ouvidoria,"R. Ivete Alcântara, 120, Centro, 62.670-000, São Gonçalo do Amarante, CE",Seg à Quinta (7:30 até 17:00) Sex (7:30 até 13:30),Sim,https://saogoncalodoamarante.ce.gov.br/arquivos/1070/1364.pdf
